Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2012-10-30,27-305,MIA,,BOS,W (+13),1,28:52,10,16,.625,2,4,.500,4,5,.800,1,9,10,3,2,0,0,2,26,25.1,+12
2,2,2012-11-02,27-308,MIA,@,NYK,L (-20),1,36:41,8,16,.500,2,3,.667,5,6,.833,0,7,7,5,0,3,5,2,23,16.5,-21
3,3,2012-11-03,27-309,MIA,,DEN,W (+3),1,39:12,8,17,.471,0,1,.000,4,4,1.000,1,8,9,11,0,2,0,2,20,22.7,+7
4,4,2012-11-05,27-311,MIA,,PHO,W (+25),1,30:11,10,17,.588,2,3,.667,1,3,.333,3,8,11,1,0,0,3,2,23,15.7,+25
5,5,2012-11-07,27-313,MIA,,BRK,W (+30),1,29:59,7,12,.583,2,3,.667,4,4,1.000,4,8,12,8,1,0,2,1,20,23.8,+18
6,6,2012-11-09,27-315,MIA,@,ATL,W (+6),1,35:40,10,17,.588,0,2,.000,1,3,.333,2,9,11,9,1,0,2,2,21,20.9,0
7,7,2012-11-11,27-317,MIA,@,MEM,L (-18),1,35:43,10,19,.526,0,1,.000,0,4,.000,3,7,10,6,2,1,2,2,20,17.4,-18
8,8,2012-11-12,27-318,MIA,@,HOU,W (+3),1,39:55,14,26,.538,5,8,.625,5,8,.625,1,9,10,6,0,0,0,1,38,31.4,+8
9,9,2012-11-14,27-320,MIA,@,LAC,L (-7),1,41:13,12,23,.522,0,3,.000,6,9,.667,0,5,5,7,1,2,4,3,30,21.1,-15
10,10,2012-11-15,27-321,MIA,@,DEN,W (+5),1,41:57,11,23,.478,0,1,.000,5,6,.833,1,6,7,12,1,3,4,0,27,24.9,+9
11,11,2012-11-17,27-323,MIA,@,PHO,W (+9),1,40:43,8,20,.400,1,3,.333,4,7,.571,0,7,7,3,2,0,1,1,21,13.8,+20
12,12,2012-11-21,27-327,MIA,,MIL,W (+7),1,42:32,11,21,.524,2,4,.500,4,8,.500,2,8,10,8,1,1,1,3,28,25.0,+5
13,13,2012-11-24,27-330,MIA,,CLE,W (+2),1,39:58,10,16,.625,2,5,.400,8,9,.889,1,5,6,5,0,1,7,3,30,20.6,+7
14,14,2012-11-29,27-335,MIA,,SAS,W (+5),1,39:06,9,16,.563,2,5,.400,3,6,.500,3,6,9,7,4,0,4,2,23,22.2,-1
15,15,2012-12-01,27-337,MIA,,BRK,W (+13),1,36:57,8,15,.533,1,2,.500,4,6,.667,1,8,9,6,1,0,2,3,21,18.0,+14
16,16,2012-12-04,27-340,MIA,@,WAS,L (-4),1,42:53,12,24,.500,1,4,.250,1,3,.333,2,11,13,11,3,2,3,1,26,26.6,-3
17,17,2012-12-06,27-342,MIA,,NYK,L (-20),1,38:35,11,20,.550,3,5,.600,6,9,.667,2,8,10,9,3,0,2,0,31,31.3,-17
18,18,2012-12-08,27-344,MIA,,NOH,W (+16),1,35:55,11,16,.688,0,0,,2,3,.667,1,4,5,7,2,0,4,2,24,20.8,+10
19,19,2012-12-10,27-346,MIA,,ATL,W (+9),1,40:21,10,16,.625,1,2,.500,6,7,.857,1,6,7,6,2,0,3,0,27,25.1,+12
